periodo_contable,tipo_indicador,nombre_campo,total_registros,cantidad_mala,porcentaje,es_total
202509,variacion,CEDIDAS_IAXIS · 510305 · AL,62450,62450,16.3,False
202509,variacion,CEDIDAS_TERREMOTO · 263005 · AA,125233,125233,0.0,False
202509,variacion,CEDIDAS_TERREMOTO · 263005 · AL,43469,43469,0.0,False
202509,variacion,CEDIDAS_TERREMOTO · 410305 · AA,69941,69941,32.94,False
202509,variacion,CEDIDAS_TERREMOTO · 410305 · AL,13709,13709,0.0,False
202509,variacion,CEDIDAS_TERREMOTO · 510305 · AA,55292,55292,0.0,False
202509,variacion,CEDIDAS_TERREMOTO · 510305 · AL,29760,29760,0.0,False
202509,variacion,DIRECTA_IAXIS · 410305 · AA,45221,45221,0.0,False
202509,variacion,DIRECTA_IAXIS · 410305 · AL,2618366,2618366,78.33,False
202509,variacion,DIRECTA_IAXIS · 410310 · AA,5392,5392,77.08,False
202509,variacion,DIRECTA_IAXIS · 410310 · AL,383906,383906,78.37,False
202509,variacion,DIRECTA_IAXIS · 410315 · AL,42980,42980,76.06,False
202509,variacion,DIRECTA_IAXIS · 510305 · AA,309590,309590,18.51,False
202509,variacion,DIRECTA_IAXIS · 510305 · AL,11937948,0,85.2,False
202509,variacion,DIRECTA_IAXIS · 510310 · AA,69279,69279,0.0,False
202509,variacion,DIRECTA_IAXIS · 510310 · AL,2296970,2296970,71.47,False
202509,variacion,DIRECTA_IAXIS · 510315 · AL,78044,0,86.75,False
202509,variacion,TOTAL_PERIODO,18197293,6171558,44.24,True
202510,completitud,CEDIDAS_AS400 · 410305 · AA,3278,0,100.0,False
202510,completitud,CEDIDAS_AS400 · 510305 · AA,5818,0,100.0,False
202510,completitud,CEDIDAS_IAXIS · 410305 · AL,427,0,100.0,False
202510,completitud,CEDIDAS_IAXIS · 510305 · AL,71791,0,100.0,False
202510,completitud,CEDIDAS_TERREMOTO · 263005 · AA,126189,0,100.0,False
202510,completitud,CEDIDAS_TERREMOTO · 263005 · AL,198683,0,100.0,False
202510,completitud,CEDIDAS_TERREMOTO · 410305 · AA,126156,0,100.0,False
202510,completitud,CEDIDAS_TERREMOTO · 410305 · AL,196138,0,100.0,False
202510,completitud,CEDIDAS_TERREMOTO · 510305 · AA,33,0,100.0,False
202510,completitud,CEDIDAS_TERREMOTO · 510305 · AL,2545,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 410305 · AA,41631,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 410305 · AL,1894891,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 410310 · AA,4369,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 410310 · AL,285454,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 410315 · AL,30623,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 510305 · AA,511039,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 510305 · AL,13424853,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 510310 · AA,70555,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 510310 · AL,2559885,0,100.0,False
202510,completitud,DIRECTA_IAXIS · 510315 · AL,87857,0,100.0,False
202510,completitud,TOTAL_PERIODO,19642215,0,100.0,True
202510,disponibilidad,disponibilidad_carga,20,0,100.0,True
202510,disponibilidad,frescura_carga,4,0,100.0,True
202510,disponibilidad,valores_en_cero,19642215,136534,99.3,True
202510,validez,CEDIDAS_AS400 · 410305 · AA,3278,0,100.0,False
202510,validez,CEDIDAS_AS400 · 510305 · AA,5818,0,100.0,False
202510,validez,CEDIDAS_IAXIS · 410305 · AL,427,0,100.0,False
202510,validez,CEDIDAS_IAXIS · 510305 · AL,71791,0,100.0,False
202510,validez,CEDIDAS_TERREMOTO · 263005 · AA,126189,0,100.0,False
202510,validez,CEDIDAS_TERREMOTO · 263005 · AL,198683,0,100.0,False
202510,validez,CEDIDAS_TERREMOTO · 410305 · AA,126156,0,100.0,False
202510,validez,CEDIDAS_TERREMOTO · 410305 · AL,196138,0,100.0,False
202510,validez,CEDIDAS_TERREMOTO · 510305 · AA,33,0,100.0,False
202510,validez,CEDIDAS_TERREMOTO · 510305 · AL,2545,0,100.0,False
202510,validez,DIRECTA_IAXIS · 410305 · AA,41631,0,100.0,False
202510,validez,DIRECTA_IAXIS · 410305 · AL,1894891,0,100.0,False
202510,validez,DIRECTA_IAXIS · 410310 · AA,4369,0,100.0,False
202510,validez,DIRECTA_IAXIS · 410310 · AL,285454,0,100.0,False
202510,validez,DIRECTA_IAXIS · 410315 · AL,30623,0,100.0,False
202510,validez,DIRECTA_IAXIS · 510305 · AA,511039,0,100.0,False
202510,validez,DIRECTA_IAXIS · 510305 · AL,13424853,0,100.0,False
202510,validez,DIRECTA_IAXIS · 510310 · AA,70555,0,100.0,False
202510,validez,DIRECTA_IAXIS · 510310 · AL,2559885,0,100.0,False
202510,validez,DIRECTA_IAXIS · 510315 · AL,87857,0,100.0,False
202510,validez,TOTAL_PERIODO,19642215,0,100.0,True
202510,variacion,CEDIDAS_AS400 · 410305 · AA,3278,0,90.89,False
202510,variacion,CEDIDAS_AS400 · 510305 · AA,5818,5818,0.0,False
202510,variacion,CEDIDAS_IAXIS · 410305 · AL,427,427,74.66,False
202510,variacion,CEDIDAS_IAXIS · 510305 · AL,71791,71791,0.0,False
202510,variacion,CEDIDAS_TERREMOTO · 263005 · AA,126189,126189,0.0,False
202510,variacion,CEDIDAS_TERREMOTO · 263005 · AL,198683,198683,0.0,False
202510,variacion,CEDIDAS_TERREMOTO · 410305 · AA,126156,126156,0.0,False
202510,variacion,CEDIDAS_TERREMOTO · 410305 · AL,196138,196138,0.0,False
202510,variacion,CEDIDAS_TERREMOTO · 510305 · AA,33,33,0.0,False
202510,variacion,CEDIDAS_TERREMOTO · 510305 · AL,2545,2545,0.0,False
202510,variacion,DIRECTA_IAXIS · 410305 · AA,41631,41631,71.82,False
202510,variacion,DIRECTA_IAXIS · 410305 · AL,1894891,1894891,70.39,False
202510,variacion,DIRECTA_IAXIS · 410310 · AA,4369,0,80.58,False
